# SEED — Takshashila University org structure.
# University root: "Takshashila University" (code TU) — created by the seeder,
# not by this file; every row below hangs beneath it.
# Generated from Takshashila_University_Schools_and_Programmes_Updated.docx
# (July 2026). 6 Faculty Divisions, 13 Schools, 15 Departments, 113 Programmes.
#
# Load with:  make seed        (python -m unicore.seed)
# or upload on Org structure -> Bulk upload — same validation pipeline either way.
#
# Only SCOPE and SCORE have real Departments; the other Schools leave the
# department columns blank and get a default Department (flagged auto-created).
# duration_years = ACADEMIC years, internship counted separately in months.
# cadence is the School's curriculum rhythm (semester|yearly) and is
# MANDATORY: it sets every Programme's position ladder. All Takshashila
# Schools run semesters; a Programme that differs (PhD) is overridden
# individually after import, not here.
# The School of Medicine (external Takshashila Medical College) is omitted
# pending the scope decision recorded in
# docs/reviews/org-structure-vs-university-document.md §7.
faculty_division_code,faculty_division_name,school_code,school_name,cadence,department_code,department_name,programme_code,programme_name,level,duration_years,mode,category,industry_partner,internship_months,lateral_entry_semester
FSC,Faculty of Sciences,SOBS,School of Basic Sciences,semester,,,BSC-ASTRO,B.Sc - Astrophysics,Under Graduate,3,Full-Time,Standard,,,
FSC,Faculty of Sciences,SOBS,School of Basic Sciences,semester,,,MSC-MATHS,M.Sc - Mathematics,Post Graduate,2,Full-Time,Standard,,,
FSC,Faculty of Sciences,SOBS,School of Basic Sciences,semester,,,MSC-PHY,M.Sc - Physics,Post Graduate,2,Full-Time,Standard,,,
FSC,Faculty of Sciences,SOBS,School of Basic Sciences,semester,,,MSC-CHEM,M.Sc - Chemistry,Post Graduate,2,Full-Time,Standard,,,
FSC,Faculty of Sciences,SOBS,School of Basic Sciences,semester,,,MSC-BT,M.Sc - Biotechnology,Post Graduate,2,Full-Time,Standard,,,
FSC,Faculty of Sciences,SOBS,School of Basic Sciences,semester,,,M-STAT,M. Statistics (Master of Statistics),Post Graduate,2,Full-Time,Standard,,,
FSC,Faculty of Sciences,SOBS,School of Basic Sciences,semester,,,PHD-MATHS,Ph.D - Mathematics,PhD (Full-Time),5,Full-Time,Research,,,
FSC,Faculty of Sciences,SOBS,School of Basic Sciences,semester,,,PHD-PHY,Ph.D - Physics,PhD (Full-Time),5,Full-Time,Research,,,
FSC,Faculty of Sciences,SOBS,School of Basic Sciences,semester,,,PHD-CHEM,Ph.D - Chemistry,PhD (Full-Time),5,Full-Time,Research,,,
FSC,Faculty of Sciences,SOCS,School of Computer Science,semester,,,BSC-CS-AIDS,B.Sc - Computer Science (AI & DS),Under Graduate,3,Full-Time,Standard,,,
FSC,Faculty of Sciences,SOCS,School of Computer Science,semester,,,BCA,BCA - Bachelor of Computer Applications,Under Graduate,3,Full-Time,Standard,,,
FSC,Faculty of Sciences,SOCS,School of Computer Science,semester,,,MCA-DS,MCA (Data Science),Post Graduate,2,Full-Time,Standard,,,
FSC,Faculty of Sciences,SOCS,School of Computer Science,semester,,,MSC-CS-AIDS,M.Sc - Computer Science (AI & DS),Post Graduate,2,Full-Time,Standard,,,
FSC,Faculty of Sciences,SOCS,School of Computer Science,semester,,,BSC-CS-IBM,B.Sc Computer Science (AI & DS),Under Graduate,3,Full-Time,Industry Integrated,IBM,,
FSC,Faculty of Sciences,SOCS,School of Computer Science,semester,,,BCA-FSD,BCA (Full Stack Development),Under Graduate,3,Full-Time,Industry Integrated,XEBIA,,
FSC,Faculty of Sciences,SOCS,School of Computer Science,semester,,,BSC-CS-AIML,B.Sc Computer Science (AI & ML),Under Graduate,3,Full-Time,Industry Integrated,FACEPREP,,
FSC,Faculty of Sciences,SOCS,School of Computer Science,semester,,,BSC-CS-CSDF,B.Sc Computer Science (Cyber Security & Digital Forensics),Under Graduate,3,Full-Time,Industry Integrated,HCL GUVI,,
FSC,Faculty of Sciences,SOCS,School of Computer Science,semester,,,MCA-DS-TO,MCA (Data Science),Post Graduate,2,Full-Time,Industry Integrated,TRANSORG,,
FSC,Faculty of Sciences,SOCS,School of Computer Science,semester,,,PHD-CS,Ph.D - Computer Science,PhD (Full-Time),5,Full-Time,Research,,,
AGRI,Faculty of Agricultural Sciences,SOAS,School of Agricultural Sciences,semester,,,BSC-AGRI,B.Sc. (Hons.) Agriculture,Under Graduate,4,Full-Time,Standard,,,
AGRI,Faculty of Agricultural Sciences,SOAS,School of Agricultural Sciences,semester,,,MSC-AGRO,M.Sc. Agri - Agronomy,Post Graduate,2,Full-Time,Standard,,,
AGRI,Faculty of Agricultural Sciences,SOAS,School of Agricultural Sciences,semester,,,MSC-SOIL,M.Sc. Agri - Soil Science & Agricultural Chemistry,Post Graduate,2,Full-Time,Standard,,,
AGRI,Faculty of Agricultural Sciences,SOAS,School of Agricultural Sciences,semester,,,MSC-PPATH,M.Sc. Agri - Plant Pathology,Post Graduate,2,Full-Time,Standard,,,
AGRI,Faculty of Agricultural Sciences,SOAS,School of Agricultural Sciences,semester,,,MSC-ENTO,M.Sc. Agri - Agricultural Entomology,Post Graduate,2,Full-Time,Standard,,,
AGRI,Faculty of Agricultural Sciences,SOAS,School of Agricultural Sciences,semester,,,MSC-AECON,M.Sc. Agri - Agricultural Economics,Post Graduate,2,Full-Time,Standard,,,
FHSS,Faculty of Humanities & Social Sciences,SOSS,School of Social Sciences,semester,,,BA-ECO,B.A - Economics,Under Graduate,3,Full-Time,Standard,,,
FHSS,Faculty of Humanities & Social Sciences,SOSS,School of Social Sciences,semester,,,BA-DSS,B.A - Defence & Strategic Studies,Under Graduate,3,Full-Time,Standard,,,
FHSS,Faculty of Humanities & Social Sciences,SOSS,School of Social Sciences,semester,,,BA-PSY,B.A - Psychology,Under Graduate,3,Full-Time,Standard,,,
FHSS,Faculty of Humanities & Social Sciences,SOSS,School of Social Sciences,semester,,,BA-IPT,B.A - Indian Philosophy & Tourism,Under Graduate,3,Full-Time,Standard,,,
FHSS,Faculty of Humanities & Social Sciences,SOSS,School of Social Sciences,semester,,,BA-IRPP,B.A - International Relations & Public Policy,Under Graduate,3,Full-Time,Standard,,,
FHSS,Faculty of Humanities & Social Sciences,SOSS,School of Social Sciences,semester,,,BSW,BSW - Bachelor of Social Work,Under Graduate,3,Full-Time,Standard,,,
FHSS,Faculty of Humanities & Social Sciences,SOSS,School of Social Sciences,semester,,,BLIB,B.Lib.I.Sc,Under Graduate,3,Full-Time,Standard,,,
FHSS,Faculty of Humanities & Social Sciences,SOSS,School of Social Sciences,semester,,,MA-ECO,M.A - Economics,Post Graduate,2,Full-Time,Standard,,,
FHSS,Faculty of Humanities & Social Sciences,SOSS,School of Social Sciences,semester,,,MA-DSS,M.A - Defence & Strategic Studies,Post Graduate,2,Full-Time,Standard,,,
FHSS,Faculty of Humanities & Social Sciences,SOSS,School of Social Sciences,semester,,,MA-PSY,M.A - Psychology,Post Graduate,2,Full-Time,Standard,,,
FHSS,Faculty of Humanities & Social Sciences,SOSS,School of Social Sciences,semester,,,MSW,MSW - Master of Social Work,Post Graduate,2,Full-Time,Standard,,,
FHSS,Faculty of Humanities & Social Sciences,SOSS,School of Social Sciences,semester,,,MLIB,M.Lib.I.Sc,Post Graduate,2,Full-Time,Standard,,,
FHSS,Faculty of Humanities & Social Sciences,SOH,School of Humanities,semester,,,BA-TAM,B.A - Tamil,Under Graduate,3,Full-Time,Standard,,,
FHSS,Faculty of Humanities & Social Sciences,SOH,School of Humanities,semester,,,BA-ENG,B.A - English,Under Graduate,3,Full-Time,Standard,,,
FHSS,Faculty of Humanities & Social Sciences,SOH,School of Humanities,semester,,,BFA,BFA - Bachelor of Fine Arts,Under Graduate,3,Full-Time,Standard,,,
FHSS,Faculty of Humanities & Social Sciences,SOH,School of Humanities,semester,,,BPA,BPA - Bachelor of Performing Arts,Under Graduate,3,Full-Time,Standard,,,
FHSS,Faculty of Humanities & Social Sciences,SOH,School of Humanities,semester,,,MA-TAM,M.A - Tamil,Post Graduate,2,Full-Time,Standard,,,
FHSS,Faculty of Humanities & Social Sciences,SOH,School of Humanities,semester,,,MA-ENG,M.A - English,Post Graduate,2,Full-Time,Standard,,,
FHSS,Faculty of Humanities & Social Sciences,SOH,School of Humanities,semester,,,PHD-TAM,Ph.D - Tamil,PhD (Full-Time),5,Full-Time,Research,,,
FHSS,Faculty of Humanities & Social Sciences,SOH,School of Humanities,semester,,,PHD-ENG,Ph.D - English,PhD (Full-Time),5,Full-Time,Research,,,
FHS,Faculty of Health Sciences,SAHS,School of Allied Health Sciences,semester,,,B-MLS,Bachelor of Medical Laboratory Science,Under Graduate,3,Full-Time,Standard,,12,
FHS,Faculty of Health Sciences,SAHS,School of Allied Health Sciences,semester,,,B-EMT,Bachelor of Emergency Medical Technologist / Paramedics,Under Graduate,3,Full-Time,Standard,,12,
FHS,Faculty of Health Sciences,SAHS,School of Allied Health Sciences,semester,,,B-AOTT,Bachelor of Anaesthesia & Operation Theatre Technology,Under Graduate,3,Full-Time,Standard,,12,
FHS,Faculty of Health Sciences,SAHS,School of Allied Health Sciences,semester,,,B-ND,Bachelor of Nutrition & Dietetics (Honours),Under Graduate,4,Full-Time,Standard,,6,
FHS,Faculty of Health Sciences,SAHS,School of Allied Health Sciences,semester,,,B-OPTOM,Bachelor of Optometry,Under Graduate,4,Full-Time,Standard,,12,
FHS,Faculty of Health Sciences,SAHS,School of Allied Health Sciences,semester,,,B-PSY,Bachelor of Psychology,Under Graduate,3,Full-Time,Standard,,12,
FHS,Faculty of Health Sciences,SAHS,School of Allied Health Sciences,semester,,,B-MPSW,Bachelor of Medical & Psychiatric Social Work,Under Graduate,3,Full-Time,Standard,,12,
FHS,Faculty of Health Sciences,SAHS,School of Allied Health Sciences,semester,,,B-MRIT,Bachelor of Medical Radiology & Imaging Technology,Under Graduate,3,Full-Time,Standard,,12,
FHS,Faculty of Health Sciences,SAHS,School of Allied Health Sciences,semester,,,B-PA,Bachelor of Physician Associates,Under Graduate,3,Full-Time,Standard,,12,
FHS,Faculty of Health Sciences,SAHS,School of Allied Health Sciences,semester,,,B-DTT,Bachelor of Dialysis Therapy Technology,Under Graduate,3,Full-Time,Standard,,12,
FHS,Faculty of Health Sciences,SAHS,School of Allied Health Sciences,semester,,,B-RT,Bachelor of Respiratory Technology,Under Graduate,3,Full-Time,Standard,,12,
FHS,Faculty of Health Sciences,SAHS,School of Allied Health Sciences,semester,,,BSC-HIM,B.Sc - Health Information Management,Under Graduate,3,Full-Time,Standard,,12,
FHS,Faculty of Health Sciences,SAHS,School of Allied Health Sciences,semester,,,M-PA,Master of Physician Associates,Post Graduate,2,Full-Time,Standard,,,
FHS,Faculty of Health Sciences,SAHS,School of Allied Health Sciences,semester,,,M-AOTT,Master of Anaesthesia & Operation Theatre Technology,Post Graduate,2,Full-Time,Standard,,,
FHS,Faculty of Health Sciences,SAHS,School of Allied Health Sciences,semester,,,M-MLS,Master of Medical Laboratory Science,Post Graduate,2,Full-Time,Standard,,,
FHS,Faculty of Health Sciences,SOPT,School of Physiotherapy,semester,,,BPT,BPT - Bachelor of Physiotherapy,Under Graduate,4,Full-Time,Standard,,12,
FHS,Faculty of Health Sciences,SOP,School of Pharmacy,semester,,,B-PHARM,B.Pharm - Bachelor of Pharmacy,Under Graduate,4,Full-Time,Standard,,,3
FHS,Faculty of Health Sciences,SON,School of Nursing,semester,,,BSC-NUR,B.Sc - Nursing,Under Graduate,4,Full-Time,Standard,,,
